-4.207313061,-148.5878906,-67.70561981
-4.216248035,-148.5227814,-68.12057495
-4.212022781,-148.4467621,-68.53374481
-4.194570541,-148.3599243,-68.94441223
-4.162936687,-148.2616272,-69.35158539
-4.114049435,-148.1495819,-69.75340271
-4.043035984,-148.0202179,-70.146492
-3.941970825,-147.8679657,-70.52419281
-3.799105644,-147.6851807,-70.87310791
-3.606048822,-147.4681702,-71.17470551
-3.368020058,-147.2238159,-71.41795349
-3.096317768,-146.9624481,-71.60203552
-2.800228357,-146.6926575,-71.72793579
-2.491497993,-146.4214935,-71.81468201
-2.175106525,-146.1517029,-71.8742981
-1.853791475,-145.8845062,-71.91770172
-1.528786778,-145.6211548,-71.9571228
-1.20019722,-145.3638611,-72.00543213
-0.865013838,-145.1188202,-72.06916046
-0.519838989,-144.8951416,-72.15426636
-0.16623047,-144.6934967,-72.25779724
0.194842294,-144.5162964,-72.37895966
0.560790598,-144.359314,-72.51284027
0.929763258,-144.2177277,-72.65534973
1.300715446,-144.0880585,-72.80400848
1.672870278,-143.9672699,-72.95716095
2.045208454,-143.8539124,-73.11545563
2.416905165,-143.7439117,-73.27754974
2.787708521,-143.6362457,-73.44322205
3.157248259,-143.5303955,-73.61286163
3.524192572,-143.4254303,-73.78857422
3.888986111,-143.3202972,-73.96856689
4.251434326,-143.2147675,-74.15304565
4.608647346,-143.1071625,-74.34634399
4.960967064,-142.9970093,-74.54692841
5.307346821,-142.883606,-74.75580597
5.645581722,-142.765564,-74.97529602
5.968984127,-142.6390686,-75.2118454
6.271207333,-142.5014496,-75.46903992
6.541169643,-142.3491364,-75.75222015
6.759972095,-142.1780396,-76.06674957
6.904796124,-141.9874725,-76.41100311
6.97578907,-141.7845459,-76.77075958
6.982563972,-141.575592,-77.1342926
6.941269875,-141.3648376,-77.49485016
6.867185116,-141.1540527,-77.8503952
6.771583557,-140.9436646,-78.20122528
6.658967018,-140.7337799,-78.54735565
6.535414696,-140.5238953,-78.88968658
6.405954838,-140.3135986,-79.22958374
6.268316746,-140.1022339,-79.56562805
6.124041557,-139.8889923,-79.89762115
5.975902081,-139.6746521,-80.22725677
5.817988396,-139.4562378,-80.54956055
5.657168388,-139.2363739,-80.86940765
5.486872196,-139.0115051,-81.18081665
5.310623646,-138.7830048,-81.48604584
5.127154827,-138.5500946,-81.7837677
4.931313515,-138.3089752,-82.06648254
4.727846146,-138.0626831,-82.338974
4.509143353,-137.8058777,-82.58950806
4.271348,-137.5361023,-82.80571747
4.013668537,-137.25383,-82.97572327
3.732252359,-136.9602203,-83.06508636
3.435119152,-136.6711884,-83.03453827
3.144114017,-136.4149017,-82.88227844
2.87377882,-136.2070465,-82.64044189
2.624843836,-136.0476379,-82.34343719
2.391461134,-135.9315338,-82.01474762
2.166442633,-135.8549042,-81.66884613
1.942351699,-135.8173523,-81.31591034
1.71067822,-135.8231049,-80.96607208
1.460382342,-135.8831024,-80.63497162
1.176797748,-136.0300446,-80.36656189
0.878097832,-136.2778473,-80.21894073
0.620585203,-136.6005096,-80.24672699
0.440249264,-136.9352875,-80.41833496
0.323375523,-137.2511597,-80.66637421
0.25264439,-137.5445251,-80.95711517
0.213063225,-137.819397,-81.27179718
0.201988608,-138.075119,-81.60500336
0.212048426,-138.3149872,-81.94937897
0.230170459,-138.5487976,-82.29801178
0.271291703,-138.763916,-82.65659332
0.312818617,-138.9786682,-83.01531982
0.3695921,-139.1802826,-83.37956238
0.426365554,-139.381897,-83.74380493
0.492420286,-139.5751648,-84.11096191
0.559914589,-139.7671356,-84.4785614
0.632202446,-139.9546967,-84.84750366
0.707488835,-140.1394806,-85.2172699
0.784913778,-140.3222351,-85.58758545
0.866106749,-140.5014496,-85.95883942
0.948218763,-140.6797943,-86.33031464
1.034037232,-140.8545685,-86.70264435
1.120666027,-141.0285645,-87.07514954
1.210199237,-141.1997528,-87.44827271
1.301295996,-141.3694,-87.82172394
1.394323945,-141.5371399,-88.19554901
1.490020633,-141.7022552,-88.56987762
